region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dunloe Elementary School,Groveport Madison Local,Elementary,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Duxberry Park Alternative Elementary School,Columbus City Schools District,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eakin Elementary School,Columbus City Schools District,Elementary,Regular School,43228
1.0,Group 1 - Columbus Core,Franklin,Franklin,Early Childhood Education and Family Center,Columbus City Schools District,Prekindergarten,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Early College Academy,Early College Academy,High,Regular School,43215
1.0,Group 1 - Columbus Core,Franklin,Franklin,Early Learning Center,Westerville City,Prekindergarten,Regular School,43081
1.0,Group 1 - Columbus Core,Franklin,Franklin,Early Learning Center,Ohio Deaf and Blind Education Services,Prekindergarten,Regular School,43214
1.0,Group 1 - Columbus Core,Franklin,Franklin,East Bridge Academy of Excellence,East Bridge Academy of Excellence,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,East Columbus Elementary School,Columbus City Schools District,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,East Franklin Elementary School,South-Western City,Elementary,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,East High School,Columbus City Schools District,High,Regular School,43205
1.0,Group 1 - Columbus Core,Franklin,Franklin,East Linden Elementary School,Columbus City Schools District,Elementary,Regular School,43211
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eastgate Elementary School,Columbus City Schools District,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Easthaven Elementary School,Columbus City Schools District,Elementary,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eastland Career Center,Eastland-Fairfield Career & Technical Schools,High,Career and Technical School,43125
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eastland Preparatory Academy,Eastland Preparatory Academy,Elementary,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eastmoor Academy,Columbus City Schools District,High,Regular School,43213
1.0,Group 1 - Columbus Core,Franklin,Franklin,Ecole Kenwood French Immersion,Columbus City Schools District,Elementary,Regular School,43220
1.0,Group 1 - Columbus Core,Franklin,Franklin,Educational Academy for Boys & Girls,Educational Academy for Boys & Girls,Elementary,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Eli Pinney Elementary School,Dublin City,Elementary,Regular School,43017
1.0,Group 1 - Columbus Core,Franklin,Franklin,Emerson Elementary School,Westerville City,Elementary,Regular School,43081
1.0,Group 1 - Columbus Core,Franklin,Franklin,Etna Road Elementary School,Whitehall City,Elementary,Regular School,43213
1.0,Group 1 - Columbus Core,Franklin,Franklin,Evening Street Elementary School,Worthington City,Elementary,Regular School,43085
1.0,Group 1 - Columbus Core,Franklin,Franklin,Everest Elementary School,Licking Heights Local,Elementary,Regular School,43004
1.0,Group 1 - Columbus Core,Franklin,Franklin,Fairmoor Elementary School,Columbus City Schools District,Elementary,Regular School,43213
1.0,Group 1 - Columbus Core,Franklin,Franklin,Fairwood Alternative Elementary School,Columbus City Schools District,Elementary,Regular School,43205
1.0,Group 1 - Columbus Core,Franklin,Franklin,Finland Elementary School,South-Western City,Elementary,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Finland Middle School,South-Western City,Middle,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Flex High School,Flex High School,High,Regular School,43215
1.0,Group 1 - Columbus Core,Franklin,Franklin,Focus Learning Academy of Central Columbus,Focus Learning Academy of Central Columbus,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Focus Learning Academy of Northern Columbus,Focus Learning Academy of Northern Columbus,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Focus Learning Academy of Southeastern Columbus,Focus Learning Academy of Southeastern Columbus,High,Regular School,43232
